Model,Loss,Epoch
1,49.11679569236251,1
1,28.55975018482981,2
1,18.148053419361236,3
1,11.98257300289455,4
1,8.01917833560057,5
1,5.348720296359519,6
1,3.506078696708435,7
1,2.223241321059432,8
1,1.339190497073029,9
1,0.7472434589095207,10
1,0.3693528817152418,11
1,0.15542381858901938,12
1,0.06287747395953644,13
1,0.037374378148236,14
1,0.029489195121249666,15
1,0.02658496649741237,16
1,0.024987274459175972,17
1,0.023936587066125514,18
1,0.0231094956517156,19
1,0.022406435100985233,20
2,50.55543170758148,1
2,29.1878785782023,2
2,18.49136864554399,3
2,12.184391155934282,4
2,8.137860015511258,5
2,5.418183998766739,6
2,3.546044847858486,7
2,2.2476178679639087,8
2,1.3514638946000448,9
2,0.7525975977434024,10
2,0.37361391057083604,11
2,0.1584887910626336,12
2,0.06347528424884465,13
2,0.0374569864288322,14
2,0.02988413606148793,15
2,0.026764232188717388,16
2,0.025057518191492635,17
2,0.02389440581853837,18
2,0.023038815921430648,19
2,0.022412672626978554,20
3,50.06200513046688,1
3,29.388718208524462,2
3,18.85941398474199,3
3,12.572706011058425,4
3,8.507493271248173,5
3,5.747856904702909,6
3,3.83056022566773,7
3,2.485439605550217,8
3,1.5419426182948195,9
3,0.8951217555033881,10
3,0.4713526468541322,11
3,0.21518858110726768,12
3,0.08663842421986147,13
3,0.04351751090907085,14
3,0.032087483516793004,15
3,0.02749330226752931,16
3,0.02578352375039414,17
3,0.02457320767202611,18
3,0.023533791609442058,19
3,0.022799473712598082,20
4,51.010154732254776,1
4,30.025409230799564,2
4,19.308706539780346,3
4,12.921472600273994,4
4,8.770227605091737,5
4,5.959246739141468,6
4,3.9991681946874427,7
4,2.612222326335622,8
4,1.6407743926241454,9
4,0.9689311119539143,10
4,0.5226746432816805,11
4,0.24569591651084835,12
4,0.10009589336955471,13
4,0.04779225293952011,14
4,0.03369323918814344,15
4,0.0284117416842088,16
4,0.026205249789998983,17
4,0.024829288710282046,18
4,0.023711394931652398,19
4,0.022924936193821906,20
5,49.88292422426789,1
5,29.327279650072043,2
5,18.81664423342707,3
5,12.560938524030673,4
5,8.49952949491391,5
5,5.746207482270849,6
5,3.828637148017314,7
5,2.48526049219469,8
5,1.5421553641748327,9
5,0.8971932245724237,10
5,0.4721339531798861,11
5,0.21558773263431052,12
5,0.08662340336485204,13
5,0.044195201847630775,14
5,0.032769151405294315,15
5,0.028109862586296698,16
5,0.025967907680790308,17
5,0.024627761724692925,18
5,0.023598001296840497,19
5,0.023054484039672148,20
6,50.31771809917523,1
6,29.411145928063625,2
6,18.824925534506598,3
6,12.531513122607397,4
6,8.462644961342884,5
6,5.708128457384577,6
6,3.793132385465382,7
6,2.4516368812081146,8
6,1.5154773332416884,9
6,0.8750929287247566,10
6,0.4576657785535621,11
6,0.20574646740198643,12
6,0.0833463156973121,13
6,0.04315969104896476,14
6,0.03191440863840615,15
6,0.027808606791407314,16
6,0.025799481472226857,17
6,0.024467570171046105,18
6,0.023638883125044897,19
6,0.02284059726369025,20
7,49.79138343013934,1
7,29.056300799729726,2
7,18.53401676169845,3
7,12.28325435296813,4
7,8.254335401408962,5
7,5.535452068995819,6
7,3.6513662770358737,7
7,2.3352937550941255,8
7,1.4243949145904735,9
7,0.8080830594369852,10
7,0.4112185081566321,11
7,0.178432370839851,12
7,0.0707155955689294,13
7,0.03946790964936397,14
7,0.030521892912701756,15
7,0.027292863483717445,16
7,0.02541155979704501,17
7,0.024159343778165674,18
7,0.023318673287436906,19
7,0.022877226383097644,20
8,50.51434607597302,1
8,29.441200602029177,2
8,18.759025427324175,3
8,12.42926189691019,4
8,8.350507286820076,5
8,5.603063976840932,6
8,3.6965479428834245,7
8,2.37008847051592,8
8,1.4466263970840714,9
8,0.8203751094051516,10
8,0.42025270054081104,11
8,0.18365009596098714,12
8,0.07279154617013707,13
8,0.039919164901507945,14
8,0.030842561493200787,15
8,0.027272683222776154,16
8,0.025437722788817847,17
8,0.024142478149868786,18
8,0.023675018170876288,19
8,0.02262792635018002,20
9,48.61546373672323,1
9,28.099281965796628,2
9,17.7343560078505,3
9,11.61851672272184,4
9,7.707917113802326,5
9,5.085606730568892,6
9,3.2915188386750374,7
9,2.054438559485397,8
9,1.2076844559041167,9
9,0.6492646893204402,10
9,0.30690094765061254,11
9,0.12140167210656189,12
9,0.05099516598654708,13
9,0.03435595463047912,14
9,0.02888686638047446,15
9,0.02611354079200769,16
9,0.024901527152863392,17
9,0.023626845266455525,18
9,0.02283958189173548,19
9,0.02225862196418268,20
10,49.716035521615034,1
10,28.797036099789747,2
10,18.292064943293266,3
10,12.075214894341508,4
10,8.08771276473999,5
10,5.39765566803499,6
10,3.5473458131493283,7
10,2.256733652879434,8
10,1.3681230829722846,9
10,0.7673457910511285,10
10,0.3842367767525126,11
10,0.16432975841038772,12
10,0.06600593886713484,13
10,0.03830401300748528,14
10,0.03005162490281596,15
10,0.02673570197353612,16
10,0.02527024514718986,17
